1	The Forgotten War No Longer Forgotten: Mike Slater has absolutely brought alive the anguish and triumph of those men of the 5th Regimental Combat Team who held the hills of sacrifice in the earliest days of the Korean War and eventually finished their sacrifice along the Armistice line three years later. The depth of research is stunning, not in its presentation of cold facts, but in its blended and balanced perspective from the human and emotional side of the soldiers who fought in Korea. A rich collection of archived military photos as well as personnel photos from those who fought there will not disappoint those who enjoy a more visual depiction of the history they're reading about. An outstanding history that is captivating and remarkable. A must read!!!
0	out of the frying pan, into the fire: This book is the story of a Roman Catholic priest who left his "church". Before becoming a Christian, I was in the "Church" of Rome too, for over twenty years, so I was very excited to read the author's motives.Unfortunately, the author left one cult to enter another. Instead of challenging the Catholic "church" for its many heresies and blatant idolatry, Davis criticizes the church's "outdated views" and unwillingness to accept destructive higher criticism, which is a heresy every bit as bad as Catholic doctrine.
0	Not truly TEA glasses: I received these as a gift. In America a TEA glass is usually12-16 oz glass, as I see now the product description does not say what size they are. so I was surprised to get a small 4 oz glass. They are pretty just not the size I was expecting.
1	tracks:1 Ma Quale Sentimento (Prologo)2 Labirinto3 Volo4 La Caduta5 Il Filo D'Arianna6 Povertà D'Amore7 Che Cos'E'8 Libertà9 Non E' Vero10 Se Mi Davi Retta
1	Cruising in the convertible, I heard....: I heard the most awesome Hawaiian, yet funky music that was great background music for where I was... in Maui! Those girls have great voices, and I have to say I actually heard this song "Promised love" about 4 times in one day, so I finally asked a man at a local market who was singing this song! I found out, and now have the cd! Maui NO KA OI!
1	Robson Arms: With the Discovery of Corner Gas I was looking for something else new to try. This shows subject matter was a little harsh at first but I stuck with it and still interesting to watch. Not for kids at all though. The stories are very good and seem real. I have plans on buying Season Two.
1	Good workout music: This CD is good for working out. I like all the songs and it is very easy to get into it. Some of the songs are unfamiliar, but with the upbeat music it doesn't matter.
0	Great material; terrible binding: I am using this a text for an International Security class. It is a well constructed summary of the history of thought in this area. However, as I am reading, gently opening the book causes pages to just fall out without any sort of tension. They have clearly never been glued in in the first place.It's just a really disappointing purchase. If I could take time out of reading to return it I would.
1	Great To Have: The solutions/study guide was a great help. I would definitely recommend picking up this supplement if you need to buy the accompanying text.
1	Wonderful: McLeod's Daughters- truly Australia's most beloved drama- is a wonderful TV show, and it features heaps of wonderful, outback-styled music-- kind of like improved country-- capturing the true spirit of the show. Like the drama, its OST sings an anthem of love to nature and to the people who love it. Rebecca LaVelle, who does most of the music for the show and this OST, is a wonderful singer with a lot of soul, and this soundtrack features a variety of songs in different styles that are always fun to listen to. The theme will leave you skipping and smiling; Take The Rain Away, the background vocal for the show's greatest tragedy, will leave you sobbing; and Gentle Gentle, along with the DVD set you know you're just dying to get a hold of, will leave you dreaming of a life as a Jillaroo in some of the world's most beautiful wide open spaces. Buy it! You know you want to. You'll get hooked straight away.
1	Love the music from this series: After finding and watching this series, I fell in love with the music. It is exactly from the series. The songs flow with the ups and downs of life. Love, heartache, loss, hardship and survival. I enjoyed it and I am definitely happy with the purchase. I might even look into purchasing some of the other music.
1	gainsbourg: it's about a young boy who became infamous singer-songwriter Serge Gainsbourg. when he was in his childhood in Nazi-occupied Paris,as he romances many of the era's beautiful women.
1	Classroom Connections: Bernie is going to appear for a second time on my show Classroom Connections to discuss his wonderful book Love, Magic and Mudpies. This book is a must read for all parents, grandparents, caregivers, and teachers.With all the attention given to test scores, parents and teachers need to pause and remember that raising a loving and happy child to be a person of strong moral fiber, is a priority for parents and teachers.Watch Bernie's first appearance on Classroom Connections by going to YouTube and do a search for Classroom Connection or me, Jan Doyle.
1	Perfect tool for home Bodyweight workouts: This item is worth its price and is a great home tool to do bodyweight workouts,great for dips,pull ups and atlas push ups also for leg raises.Easy to store and handy for people living in dorms or appartement!JDC
0	Janky: I purchased this item direct from the Ultimate Body Press web site, and will be returning it. I was very disappointed with the janky quality...it should have been more like $50! The entire unit wiggles and seems of very poor design for the money it cost. There is about an inch of wiggle room when just applying pressure to one side with my finger....the whole thing just slants over. It is a simple design and I'm sure it could have been made a little more sturdy....it's just very cheap looking/feeling. I could build a stronger unit myself for1/10 of the cost........and since this thing doesn't have any real advantages; like folding for storage, you might as well just construct your own unit and save a lot of money AND about 4 weeks of time (the time it took for me to receive mine after ordering it).
0	Very close to buying one, but found much cheaper substitute: I was just about to purchase this, but I read a review that changed my mind.I got a walker instead. I am 6ft165 and able to do at most 45 dips for a set(so far). This walker I recently got is perfect. They are built to support your weight. There was no assembly, and folds up better than this product.I was able to get mine for free as well through a local community center. Even Salvation Army has them for cheap. Amazon and eBay have them for less than half of this product's price.It is only for dips though, and not for any of the back exercises the video shows. Which is why I just bought a pull up bar from Wal-Mart for $19, so I can get some back exercises done at home now. I doubt that most of the people buying this product are doing so for the back exercises portion.Excellent for dips only.Recommend a walker without wheels.Here's a youtube video of a guy using one.
